Nickname,NF Suffix,FanDuel Nickname
Isaac Okoro,isaac-okoro,Isaac Okoro
Moritz Wagner,moritz-wagner,Moritz Wagner
Markelle Fultz,markelle-fultz,Markelle Fultz
Sam Merrill,sam-merrill,Sam Merrill
Daniel Theis,daniel-theis,Daniel Theis
Kris Dunn,kris-dunn,Kris Dunn
Cam Whitmore,cam-whitmore,Cam Whitmore
Patrick Beverley,patrick-beverley,Patrick Beverley
Gary Harris,gary-harris,Gary Harris
Talen Horton-Tucker,talen-horton-tucker,Talen Horton-Tucker
Craig Porter,craig-porter,Craig Porter
Mason Plumlee,mason-plumlee,Mason Plumlee
Jae Crowder,jae-crowder,Jae Crowder
Pat Connaughton,pat-connaughton,Pat Connaughton
Bruno Fernando,bruno-fernando,Bruno Fernando
Goga Bitadze,goga-bitadze,Goga Bitadze
Kobe Bufkin,kobe-bufkin,Kobe Bufkin
Aaron Holiday,aaron-holiday,Aaron Holiday
Dean Wade,dean-wade,Dean Wade
Jonathan Isaac,jonathan-isaac,Jonathan Isaac
Amir Coffey,amir-coffey,Amir Coffey
Anthony Black,anthony-black,Anthony Black
Luka Samanic,luka-samanic,Luka Samanic
Georges Niang,georges-niang,Georges Niang
Matt Hurt,matt-hurt,Matt Hurt
Jock Landale,jock-landale,Jock Landale
AJ Green,aj-green,AJ Green
Caleb Houstan,caleb-houstan,Caleb Houstan
Jeff Green,jeff-green,Jeff Green
Joe Ingles,joe-ingles,Joe Ingles
Omer Yurtseven,omer-yurtseven,Omer Yurtseven
Garrison Mathews,garrison-mathews,Garrison Mathews
Danilo Gallinari,danilo-gallinari,Danilo Gallinari
Brice Sensabaugh,brice-sensabaugh,Brice Sensabaugh
Kobe Brown,kobe-brown,Kobe Brown
Nate Williams,nate-williams,Nate Williams
Jordan Miller,jordan-miller,Jordan Miller
Mouhamed Gueye,mouhamed-gueye,Mouhamed Gueye
Seth Lundy,seth-lundy,Seth Lundy
Emoni Bates,emoni-bates,Emoni Bates
Chris Livingston,chris-livingston,Chris Livingston
Jermaine Samuels,jermaine-samuels-jr,Jermaine Samuels
Wesley Matthews,wesley-matthews,Wesley Matthews
Reggie Bullock,reggie-bullock,Reggie Bullock
Trevelin Queen,trevelin-queen,Trevelin Queen
Jason Preston,jason-preston,Jason Preston
Brandon Boston,brandon-boston-jr,Brandon Boston
Joshua Primo,joshua-primo,Joshua Primo
Damian Jones,damian-jones,Damian Jones
Steven Adams,steven-adams,Steven Adams
Vit Krejci,vit-krejci,Vit Krejci
Johnny Juzang,johnny-juzang,Johnny Juzang
Sharife Cooper,sharife-cooper,Sharife Cooper
Xavier Moon,xavier-moon,Xavier Moon
Tristan Thompson,tristan-thompson,Tristan Thompson
AJ Griffin,aj-griffin,AJ Griffin
Moussa Diabate,moussa-diabate,Moussa Diabate
Admiral Schofield,admiral-schofield,Admiral Schofield
TyTy Washington,tyty-washington,TyTy Washington
Ty Jerome,ty-jerome,Ty Jerome
Tari Eason,tari-eason,Tari Eason
Ryan Rollins,ryan-rollins,Ryan Rollins
Chuma Okeke,chuma-okeke,Chuma Okeke
Isaiah Mobley,isaiah-mobley,Isaiah Mobley
Dylan Windler,dylan-windler,Dylan Windler
Otto Porter,otto-porter,Otto Porter
Thanasis Antetokounmpo,thanasis-antetokounmpo,Thanasis Antetokounmpo
Pete Nance,pete-nance,Pete Nance
Micah Potter,micah-potter,Micah Potter
MarJon Beauchamp,marjon-beauchamp,MarJon Beauchamp
Nate Hinton,nate-hinton,Nate Hinton
Boban Marjanovic,boban-marjanovic,Boban Marjanovic
P.J. Tucker,p-j-tucker,P.J. Tucker
Kevon Harris,kevon-harris,Kevon Harris
Kira Lewis,kira-lewis-jr,Kira Lewis
Trent Forrest,trent-forrest,Trent Forrest
Jaylin Galloway,jaylin-galloway,Jaylin Galloway
Jett Howard,jett-howard,Jett Howard
Victor Wembanyama,victor-wembanyama,Victor Wembanyama
Jalen Brunson,jalen-brunson,Jalen Brunson
Scottie Barnes,scottie-barnes,Scottie Barnes
Cade Cunningham,cade-cunningham,Cade Cunningham
Julius Randle,julius-randle,Julius Randle
Devin Vassell,devin-vassell,Devin Vassell
Jalen Duren,jalen-duren,Jalen Duren
Immanuel Quickley,immanuel-quickley,Immanuel Quickley
Josh Hart,josh-hart,Josh Hart
RJ Barrett,rj-barrett,RJ Barrett
Jakob Poeltl,jakob-poeltl,Jakob Poeltl
Donte DiVincenzo,donte-divincenzo,Donte DiVincenzo
Precious Achiuwa,precious-achiuwa,Precious Achiuwa
Ausar Thompson,ausar-thompson,Ausar Thompson
Jaden Ivey,jaden-ivey,Jaden Ivey
Zach Collins,zach-collins,Zach Collins
Jeremy Sochan,jeremy-sochan,Jeremy Sochan
OG Anunoby,og-anunoby,OG Anunoby
Keldon Johnson,keldon-johnson,Keldon Johnson
Tre Jones,tre-jones,Tre Jones
Kelly Olynyk,kelly-olynyk,Kelly Olynyk
Bojan Bogdanovic,bojan-bogdanovic,Bojan Bogdanovic
Isaiah Hartenstein,isaiah-hartenstein,Isaiah Hartenstein
Miles McBride,miles-mcbride,Miles McBride
Isaiah Stewart,isaiah-stewart,Isaiah Stewart
Mitchell Robinson,mitchell-robinson,Mitchell Robinson
Gary Trent,gary-trent,Gary Trent
Bruce Brown,bruce-brown,Bruce Brown
Alec Burks,alec-burks,Alec Burks
Simone Fontecchio,simone-fontecchio,Simone Fontecchio
Gradey Dick,gradey-dick,Gradey Dick
Julian Champagnie,julian-champagnie,Julian Champagnie
Jericho Sims,jericho-sims,Jericho Sims
Malaki Branham,malaki-branham,Malaki Branham
Jordan Nwora,jordan-nwora,Jordan Nwora
James Wiseman,james-wiseman,James Wiseman
Chris Boucher,chris-boucher,Chris Boucher
Malachi Flynn,malachi-flynn,Malachi Flynn
Marcus Sasser,marcus-sasser,Marcus Sasser
Quentin Grimes,quentin-grimes,Quentin Grimes
Sandro Mamukelashvili,sandro-mamukelashvili,Sandro Mamukelashvili
Cedi Osman,cedi-osman,Cedi Osman
Evan Fournier,evan-fournier,Evan Fournier
Dominick Barlow,dominick-barlow,Dominick Barlow
Blake Wesley,blake-wesley,Blake Wesley
Ochai Agbaji,ochai-agbaji,Ochai Agbaji
Jontay Porter,jontay-porter,Jontay Porter
Stanley Umude,stanley-umude,Stanley Umude
Jalen McDaniels,jalen-mcdaniels,Jalen McDaniels
Malcolm Cazalon,malcolm-cazalon,Malcolm Cazalon
Sidy Cissoko,sidy-cissoko,Sidy Cissoko
Jared Rhoden,jared-rhoden,Jared Rhoden
Charlie Brown,charlie-brown,Charlie Brown
Buddy Boeheim,buddy-boeheim,Buddy Boeheim
Jacob Toppin,jacob-toppin,Jacob Toppin
DaQuan Jeffries,daquan-jeffries,DaQuan Jeffries
Markquis Nowell,markquis-nowell,Markquis Nowell
Garrett Temple,garrett-temple,Garrett Temple
David Duke,david-duke,David Duke
D.J. Carton,d.j.-carton,D.J. Carton
RaiQuan Gray,raiquan-gray,RaiQuan Gray
Charles Bassey,charles-bassey,Charles Bassey
Jamaree Bouyea,jamaree-bouyea,Jamaree Bouyea
Duane Washington,duane-washington,Duane Washington
Troy Brown,troy-brown,Troy Brown
Javon Freeman-Liberty,javon-freeman-liberty,Javon Freeman-Liberty
Nathan Mensah,nathan-mensah,Nathan Mensah
Devonte' Graham,devonte-graham,Devonte' Graham
Tosan Evbuomwan,tosan-evbuomwan,Tosan Evbuomwan
Kevin Durant,kevin-durant,Kevin Durant
Devin Booker,devin-booker,Devin Booker
Jusuf Nurkic,jusuf-nurkic,Jusuf Nurkic
Bradley Beal,bradley-beal,Bradley Beal
Grayson Allen,grayson-allen,Grayson Allen
Bol Bol,bol-bol,Bol Bol
Eric Gordon,eric-gordon,Eric Gordon
Drew Eubanks,drew-eubanks,Drew Eubanks
Josh Okogie,josh-okogie,Josh Okogie
Thaddeus Young,thaddeus-young,Thaddeus Young
Saben Lee,saben-lee,Saben Lee
Theo Maledon,theo-maledon,Theo Maledon
Mamadi Diakite,mamadi-diakite,Mamadi Diakite
David Roddy,david-roddy,David Roddy
Nassir Little,nassir-little,Nassir Little
Udoka Azubuike,udoka-azubuike,Udoka Azubuike
Damion Lee,damion-lee,Damion Lee
Nikola Jokic,nikola-jokic,Nikola Jokic
Luka Doncic,luka-doncic,Luka Doncic
Anthony Edwards,anthony-edwards,Anthony Edwards
Kyrie Irving,kyrie-irving,Kyrie Irving
Karl-Anthony Towns,karl-anthony-towns,Karl-Anthony Towns
Jamal Murray,jamal-murray,Jamal Murray
Rudy Gobert,rudy-gobert,Rudy Gobert
Michael Porter,michael-porter,Michael Porter
Aaron Gordon,aaron-gordon,Aaron Gordon
Daniel Gafford,daniel-gafford,Daniel Gafford
Naz Reid,naz-reid,Naz Reid
Kyle Anderson,kyle-anderson,Kyle Anderson
Mike Conley,mike-conley,Mike Conley
Reggie Jackson,reggie-jackson,Reggie Jackson
Tim Hardaway,tim-hardaway,Tim Hardaway
P.J. Washington,p.j.-washington,P.J. Washington
Josh Green,josh-green,Josh Green
Kentavious Caldwell-Pope,kentavious-caldwell-pope,Kentavious Caldwell-Pope
Nickeil Alexander-Walker,nickeil-alexander-walker,Nickeil Alexander-Walker
Christian Braun,christian-braun,Christian Braun
Peyton Watson,peyton-watson,Peyton Watson
Monte Morris,monte-morris,Monte Morris
Maxi Kleber,maxi-kleber,Maxi Kleber
Jaden Hardy,jaden-hardy,Jaden Hardy
Jaden McDaniels,jaden-mcdaniels,Jaden McDaniels
Dante Exum,dante-exum,Dante Exum
DeAndre Jordan,deandre-jordan,DeAndre Jordan
Zeke Nnaji,zeke-nnaji,Zeke Nnaji
Collin Gillespie,collin-gillespie,Collin Gillespie
Justin Holiday,justin-holiday,Justin Holiday
Dwight Powell,dwight-powell,Dwight Powell
Derrick Jones,derrick-jones,Derrick Jones
Julian Strawther,julian-strawther,Julian Strawther
Jordan McLaughlin,jordan-mclaughlin,Jordan McLaughlin
Olivier-Maxence Prosper,olivier-maxence-prosper,Olivier-Maxence Prosper
Vlatko Cancar,vlatko-cancar,Vlatko Cancar
Leonard Miller,leonard-miller,Leonard Miller
Jaylen Clark,jaylen-clark,Jaylen Clark
Jalen Pickett,jalen-pickett,Jalen Pickett
Hunter Tyson,hunter-tyson,Hunter Tyson
Luka Garza,luka-garza,Luka Garza
Greg Brown,greg-brown,Greg Brown
Brandon Williams,brandon-williams-1,Brandon Williams
Markieff Morris,markieff-morris,Markieff Morris
Daishen Nix,daishen-nix,Daishen Nix
Braxton Key,braxton-key,Braxton Key
Wendell Moore,wendell-moore-jr,Wendell Moore
Josh Minott,josh-minott,Josh Minott
Justin Jackson,justin-jackson,Justin Jackson
Jalen Crutcher,jalen-crutcher,Jalen Crutcher
Jay Huff,jay-huff,Jay Huff
Jayson Tatum,jayson-tatum,Jayson Tatum
Kristaps Porzingis,kristaps-porzingis,Kristaps Porzingis
Jaylen Brown,jaylen-brown,Jaylen Brown
Derrick White,derrick-white,Derrick White
Jrue Holiday,jrue-holiday,Jrue Holiday
Al Horford,al-horford,Al Horford
Payton Pritchard,payton-pritchard,Payton Pritchard
Luke Kornet,luke-kornet,Luke Kornet
Sam Hauser,sam-hauser,Sam Hauser
Jaden Springer,jaden-springer,Jaden Springer
Shake Milton,shake-milton,Shake Milton
Oshae Brissett,oshae-brissett,Oshae Brissett
Neemias Queta,neemias-queta,Neemias Queta
Jordan Walsh,jordan-walsh,Jordan Walsh
Darius Bazley,darius-bazley,Darius Bazley
Kenneth Lofton,kenneth-lofton-jr,Kenneth Lofton
Drew Peterson,drew-peterson,Drew Peterson
Svi Mykhailiuk,svi-mykhailiuk,Svi Mykhailiuk
JD Davison,jd-davison,JD Davison
Dru Smith,dru-smith,Dru Smith
Justise Winslow,justise-winslow,Justise Winslow
Mouhamadou Gueye,mouhamadou-gueye,Mouhamadou Gueye
Zhaire Smith,zhaire-smith,Zhaire Smith
Taj Gibson,taj-gibson,Taj Gibson
Chimezie Metu,chimezie-metu,Chimezie Metu
Robin Lopez,robin-lopez,Robin Lopez
Ryan Arcidiacono,ryan-arcidiacono,Ryan Arcidiacono
Jaylen Nowell,jaylen-nowell,Jaylen Nowell
Victor Oladipo,victor-oladipo,Victor Oladipo
Ish Smith,ish-smith,Ish Smith
Frank Ntilikina,frank-ntilikina,Frank Ntilikina
James Bouknight,james-bouknight,James Bouknight
Cory Joseph,cory-joseph,Cory Joseph
Juan Toscano-Anderson,juan-toscano-anderson,Juan Toscano-Anderson
Hamidou Diallo,hamidou-diallo,Hamidou Diallo
Killian Hayes,killian-hayes,Killian Hayes
Kevin Knox,kevin-knox,Kevin Knox
Taze Moore,taze-moore,Taze Moore
Joe Harris,joe-harris,Joe Harris
Danuel House,danuel-house,Danuel House
Furkan Korkmaz,furkan-korkmaz,Furkan Korkmaz
Christian Koloko,christian-koloko,Christian Koloko
Shaquille Harrison,shaquille-harrison,Shaquille Harrison
Nathan Knight,nathan-knight,Nathan Knight
D'Moi Hodge,d'moi-hodge,D'Moi Hodge
Alex Fudge,alex-fudge,Alex Fudge
Armoni Brooks,armoni-brooks,Armoni Brooks
Ish Wainright,ish-wainright,Ish Wainright
Ricky Rubio,ricky-rubio,Ricky Rubio
Lindell Wigginton,lindell-wigginton,Lindell Wigginton
Dmytro Skapintsev,dmytro-skapintsev,Dmytro Skapintsev
Charles Bediako,charles-bediako,Charles Bediako
Dexter Dennis,dexter-dennis,Dexter Dennis
Miles Norris,miles-norris,Miles Norris
Javonte Smart,javonte-smart,Javonte Smart
Kevin Porter,kevin-porter,Kevin Porter
Will Barton,will-barton,Will Barton
R.J. Hampton,r.j.-hampton,R.J. Hampton
Terrence Ross,terrence-ross,Terrence Ross
Kenyon Martin,kenyon-martin-jr,Kenyon Martin
Noah Vonleh,noah-vonleh,Noah Vonleh
Kendrick Nunn,kendrick-nunn,Kendrick Nunn
JaMychal Green,jamychal-green,JaMychal Green
Isaiah Roby,isaiah-roby,Isaiah Roby
Gorgui Dieng,gorgui-dieng,Gorgui Dieng
Facundo Campazzo,facundo-campazzo,Facundo Campazzo
Blake Griffin,blake-griffin,Blake Griffin
Raul Neto,raul-neto,Raul Neto
Tyler Dorsey,tyler-dorsey,Tyler Dorsey
Theo Pinson,theo-pinson,Theo Pinson
McKinley Wright,mckinley-wright,McKinley Wright
Trevor Hudgins,trevor-hudgins,Trevor Hudgins
Anthony Lamb,anthony-lamb,Anthony Lamb
Isaiah Todd,isaiah-todd,Isaiah Todd
Austin Rivers,austin-rivers,Austin Rivers
Bryn Forbes,bryn-forbes,Bryn Forbes
Romeo Langford,romeo-langford,Romeo Langford
Darius Days,darius-days,Darius Days
Trevor Keels,trevor-keels,Trevor Keels
Nerlens Noel,nerlens-noel,Nerlens Noel
Mfiondu Kabengele,mfiondu-kabengele,Mfiondu Kabengele
Jordan Schakel,jordan-schakel,Jordan Schakel
Davon Reed,davon-reed,Davon Reed
Jack White,jack-white,Jack White
Rodney McGruder,rodney-mcgruder,Rodney McGruder
Vernon Carey,vernon-carey,Vernon Carey
Feron Hunt,feron-hunt,Feron Hunt
Andre Iguodala,andre-iguodala,Andre Iguodala
Rudy Gay,rudy-gay,Rudy Gay
George Hill,george-hill,George Hill
Frank Kaminsky,frank-kaminsky,Frank Kaminsky
Goran Dragic,goran-dragic,Goran Dragic
Montrezl Harrell,montrezl-harrell,Montrezl Harrell
Serge Ibaka,serge-ibaka,Serge Ibaka
Edmond Sumner,edmond-sumner,Edmond Sumner
Danny Green,danny-green,Danny Green
T.J. Warren,t.j.-warren,T.J. Warren
Marko Simonovic,marko-simonovic,Marko Simonovic
Leandro Bolmaro,leandro-bolmaro,Leandro Bolmaro
Michael Foster,michael-foster,Michael Foster
Kennedy Chandler,kennedy-chandler,Kennedy Chandler
Tyrese Martin,tyrese-martin,Tyrese Martin
Kostas Antetokounmpo,kostas-antetokounmpo,Kostas Antetokounmpo
Jarrett Culver,jarrett-culver,Jarrett Culver
Tony Bradley,tony-bradley,Tony Bradley
Willy Hernangomez,willy-hernangomez,Willy Hernangomez
Juancho Hernangomez,juancho-hernangomez,Juancho Hernangomez
Khem Birch,khem-birch,Khem Birch
Ron Harper,ron-harper,Ron Harper
John Butler,john-butler,John Butler
John Wall,john-wall,John Wall
Terence Davis,terence-davis,Terence Davis
Dewayne Dedmon,dewayne-dedmon,Dewayne Dedmon
KZ Okpala,kz-okpala,KZ Okpala
Chima Moneke,chima-moneke,Chima Moneke
Matthew Dellavedova,matthew-dellavedova,Matthew Dellavedova
Udonis Haslem,udonis-haslem,Udonis Haslem
Jordan Hall,jordan-hall,Jordan Hall
